case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-03916: Excessive repeat filing (rephrased),"A resident of Nehru Colony has resubmitted the same streetlight complaint 21 times over two weeks, even after each was acknowledged.",Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03917: Pesticide spraying near school,"Farm adjacent to the school in Lakshmi Nagar sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03918: Park complaint,Children's park in Rajiv Nagar has broken swings and overgrown grass for over 6 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03919: Bus Delay complaint (rephrased),Commuters from Guindy report the morning bus service running 5 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03920: Bus Delay complaint,Bus route serving West Mambalam is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03921: Power Cut complaint (rephrased),"Electricity supply to New Bus Stand area has been unreliable, with 6 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03922: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Vivekananda Street, non-functional for approximately 10 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03923: Bus Delay complaint,Bus route serving Sector 9 is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03924: Land mutation delay (rephrased),Purchased property in Main Bazaar Road but the mutation record still hasn't been updated after 98 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03925: Bus Delay complaint,Bus route serving East Coast Road side lane is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03926: Direct threat to official (rephrased),"The ward officer handling my West Mambalam water case should be careful — I know his address, and my patience is running out.",Water Supply / Sanitation + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03927: Threat via social media escalation (rephrased),Told the revenue inspector handling my Gokulam Colony case to be 'ready for what's coming' if I don't see action before I go public with this.,Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03928: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Rajiv Nagar, non-functional for approximately 10 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03929: Garbage complaint,Garbage truck has skipped Pallavaram for 5 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03930: Ration card correction,"Requested correction on ration card (address change) for Ring Road junction household filed 106 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03931: Park complaint (rephrased),"The community park in Railway Colony has been left unmaintained — broken play equipment, tall grass, not cleaned in 23 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03932: Drain complaint (rephrased),Stormwater drain blockage in Purasaiwalkam is causing waterlogging on the road even with minor rainfall; mosquito breeding risk.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03933: Landslide-prone slope unaddressed,Cracks have appeared on the hillside slope above homes in Ward 12 after last monsoon; no inspection has happened yet.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03934: Garbage complaint,Garbage truck has skipped Sector 12 for 2 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03935: Threat against inspecting engineer,Told the inspecting engineer in New Bus Stand area that he 'better watch his back' if the illegal construction case isn't dropped.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03936: Streetlight complaint,"Streetlight near Ward 8 has been off for 3 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03937: Ration card correction,"Requested correction on ration card (address change) for Sholinganallur household filed 81 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03938: Park complaint,Children's park in Adyar has broken swings and overgrown grass for over 7 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03939: Repeated closure dispute,Same pothole ticket in Station Road marked 'resolved' by the department three times; citizen reopens it three times saying nothing changed.,Roads & PWD,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03940: Rival business defamation pattern,"Same complainant has filed 'unsanitary conditions' complaints against a competing shop in Station Road for the fourth year running, always right before festival season.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03941: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Triplicane in 25 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03942: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 52 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03943: Garbage complaint (rephrased),"Waste not collected in Chromepet — this is the 2th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03944: Women's safety near transit stop,"Repeated harassment of women reported near the bus stop in Main Bazaar Road, especially after dark.",Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03945: Drain complaint,Drain near Block D colony is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03946: Streetlight complaint,"Streetlight near Chromepet has been off for 15 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03947: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Nungambakkam in 24 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03948: Power Cut complaint (rephrased),"Electricity supply to Chromepet has been unreliable, with 4 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03949: Garbage complaint (rephrased),"Waste not collected in Kilpauk — this is the 7th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03950: Ambiguous jurisdiction overlap (rephrased),"The road damage near Ward 12 looks like it's from a leaking water pipe below the surface, not sure which department should fix it.",Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03951: Child labor reported at a shop (rephrased),A child who appears to be out of school is reportedly working long hours at a shop in Sholinganallur.,Women & Child Welfare + Police Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03952: Landslide-prone slope unaddressed,Cracks have appeared on the hillside slope above homes in Ward 33 after last monsoon; no inspection has happened yet.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03953: Direct bribe solicitation,"The beat constable in Ward 27 office said my file 'will move faster' if I pay Rs 1000 in cash, unofficially.",Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03954: Hyperbole vs genuine threat,"This department in Old Ferry Road is useless, I swear I'll burn this whole office down if my file isn't processed.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03955: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Old Ferry Road, non-functional for approximately 20 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
